spacecraft,groundstation,station_code,station_mode,filter_station,aos,los,aos_doy,los_doy,aos_time,los_time,aos_mt,doy,duration_min,peak_elevation,az_path,in_sun,mode,deleted,color,source_file,is_leafspace
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T21:12:22.264133+00:00,2026-09-27T21:17:34.590462+00:00,2026/270-21:12:22,2026/270-21:17:34,21:12:22,21:17:34,15:12:22,2026/270,5.2 min,2.2°,NW→N,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T21:35:35.930715+00:00,2026-09-27T21:46:57.942205+00:00,2026/270-21:35:35,2026/270-21:46:57,21:35:35,21:46:57,15:35:35,2026/270,11.4 min,45.9°,S→N,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T21:44:21.030682+00:00,2026-09-27T21:54:49.678972+00:00,2026/270-21:44:21,2026/270-21:54:49,21:44:21,21:54:49,15:44:21,2026/270,10.5 min,20.7°,SE→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-27T21:56:06.162493+00:00,2026-09-27T22:07:00.645113+00:00,2026/270-21:56:06,2026/270-22:07:00,21:56:06,22:07:00,15:56:06,2026/270,10.9 min,26.1°,S→NW,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T22:04:14.582770+00:00,2026-09-27T22:15:03.907716+00:00,2026/270-22:04:14,2026/270-22:15:03,22:04:14,22:15:03,16:04:14,2026/270,10.8 min,25.8°,SE→N,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T22:43:19.684402+00:00,2026-09-27T22:53:58.481831+00:00,2026/270-22:43:19,2026/270-22:53:58,22:43:19,22:53:58,16:43:19,2026/270,10.6 min,23.7°,SW→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T22:52:07.138143+00:00,2026-09-27T22:57:14.478481+00:00,2026/270-22:52:07,2026/270-22:57:14,22:52:07,22:57:14,16:52:07,2026/270,5.1 min,2.2°,N→NE,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP DELETED,BOULDER,2026-09-27T23:16:18.848112+00:00,2026-09-27T23:16:18.852879+00:00,2026/270-23:16:18,2026/270-23:16:18,23:16:18,23:16:18,17:16:18,2026/270,0.0 min,0.0°,W→W,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T23:17:15.525555+00:00,2026-09-27T23:28:50.113785+00:00,2026/270-23:17:15,2026/270-23:28:50,23:17:15,23:28:50,17:17:15,2026/270,11.6 min,80.1°,SE→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T23:37:26.857440+00:00,2026-09-27T23:49:02.538170+00:00,2026/270-23:37:26,2026/270-23:49:02,23:37:26,23:49:02,17:37:26,2026/270,11.6 min,74.4°,S→N,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T00:19:56.905087+00:00,2026-09-28T00:31:05.119498+00:00,2026/271-00:19:56,2026/271-00:31:05,00:19:56,00:31:05,18:19:56,2026/271,11.1 min,37.8°,W→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T00:28:58.001249+00:00,2026-09-28T00:38:36.893627+00:00,2026/271-00:28:58,2026/271-00:38:36,00:28:58,00:38:36,18:28:58,2026/271,9.6 min,12.7°,NW→E,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T00:52:02.324193+00:00,2026-09-28T01:02:44.693111+00:00,2026/271-00:52:02,2026/271-01:02:44,00:52:02,01:02:44,18:52:02,2026/271,10.7 min,21.1°,SW→N,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T01:12:38.666780+00:00,2026-09-28T01:22:50.970934+00:00,2026/271-01:12:38,2026/271-01:22:50,01:12:38,01:22:50,19:12:38,2026/271,10.2 min,15.9°,SW→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T01:56:59.193634+00:00,2026-09-28T02:07:59.583261+00:00,2026/271-01:56:59,2026/271-02:07:59,01:56:59,02:07:59,19:56:59,2026/271,11.0 min,32.7°,W→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
